atribuicao_id,pedido_id,campanha_id,modelo_atribuicao
1,456,46,Linear
2,1671,48,Primeiro clique
3,1549,31,Último clique
4,1884,1,Linear
5,1466,40,Primeiro clique
6,990,38,Primeiro clique
7,1280,34,Primeiro clique
8,1322,21,Primeiro clique
9,1890,15,Primeiro clique
10,1427,26,Primeiro clique
11,1910,5,Último clique
12,1871,45,Linear
13,773,37,Linear
14,1029,10,Primeiro clique
15,525,48,Linear
16,505,21,Linear
17,1448,7,Último clique
18,698,29,Último clique
19,1915,10,Último clique
20,1076,12,Primeiro clique
21,1958,30,Primeiro clique
22,191,3,Primeiro clique
23,422,10,Linear
24,1469,1,Último clique
25,1548,21,Linear
26,381,1,Linear
27,1834,23,Primeiro clique
28,306,26,Primeiro clique
29,1,20,Linear
30,225,14,Primeiro clique
31,1344,16,Último clique
32,1493,17,Último clique
33,4,13,Último clique
34,129,21,Linear
35,1251,25,Primeiro clique
36,1578,30,Primeiro clique
37,1024,6,Linear
38,536,17,Linear
39,500,22,Primeiro clique
40,277,24,Linear
41,1701,44,Primeiro clique
42,18,5,Primeiro clique
43,1708,24,Primeiro clique
44,3,16,Último clique
45,157,35,Último clique
46,386,42,Linear
47,433,33,Último clique
48,856,18,Linear
49,454,23,Linear
50,1626,23,Primeiro clique
51,994,45,Último clique
52,169,10,Linear
53,568,16,Linear
54,430,30,Primeiro clique
55,151,32,Primeiro clique
56,1328,10,Linear
57,295,13,Primeiro clique
58,43,8,Último clique
59,1770,49,Último clique
60,482,15,Linear
61,1126,18,Primeiro clique
62,810,48,Primeiro clique
63,1492,24,Linear
64,1757,22,Primeiro clique
65,672,40,Primeiro clique
66,1172,21,Último clique
67,958,23,Primeiro clique
68,1672,33,Último clique
69,600,10,Primeiro clique
70,647,31,Último clique
71,1086,29,Último clique
72,959,25,Primeiro clique
73,410,4,Linear
74,1554,40,Primeiro clique
75,230,18,Último clique
76,495,21,Linear
77,697,29,Linear
78,169,9,Primeiro clique
79,1207,14,Primeiro clique
80,1484,18,Último clique
81,1074,19,Linear
82,536,9,Linear
83,8,18,Primeiro clique
84,905,34,Primeiro clique
85,9,10,Primeiro clique
86,275,37,Primeiro clique
87,1078,12,Linear
88,115,32,Primeiro clique
89,1598,46,Linear
90,1664,40,Primeiro clique
91,1168,29,Último clique
92,1122,6,Linear
93,193,1,Último clique
94,1839,19,Linear
95,1404,10,Último clique
96,1149,1,Linear
97,1519,30,Linear
98,340,44,Linear
99,690,5,Linear
100,381,44,Último clique
101,1180,36,Linear
102,540,17,Primeiro clique
103,213,1,Linear
104,230,12,Linear
105,1227,14,Primeiro clique
106,1880,34,Primeiro clique
107,268,17,Linear
108,1818,9,Último clique
109,742,5,Primeiro clique
110,1724,9,Linear
111,1161,46,Linear
112,1646,30,Linear
113,836,41,Primeiro clique
114,1156,35,Primeiro clique
115,944,18,Primeiro clique
116,1231,44,Linear
117,942,21,Último clique
118,676,3,Linear
119,1226,14,Último clique
120,1884,11,Último clique
121,1767,25,Primeiro clique
122,842,37,Primeiro clique
123,1066,10,Linear
124,1808,46,Linear
125,526,21,Primeiro clique
126,884,16,Linear
127,1199,38,Último clique
128,1412,32,Linear
129,164,4,Linear
130,1447,1,Linear
131,1728,10,Último clique
132,828,8,Primeiro clique
133,170,32,Primeiro clique
134,554,3,Primeiro clique
135,1015,48,Último clique
136,264,31,Primeiro clique
137,1751,23,Primeiro clique
138,1254,37,Primeiro clique
139,1148,8,Último clique
140,1535,49,Linear
141,626,46,Último clique
142,425,42,Último clique
143,1488,29,Último clique
144,1563,48,Último clique
145,557,33,Último clique
146,1944,25,Primeiro clique
147,1814,48,Último clique
148,1243,2,Linear
149,920,5,Último clique
150,1163,14,Último clique
151,848,35,Linear
152,240,14,Último clique
153,437,39,Linear
154,1052,19,Linear
155,523,16,Primeiro clique
156,1204,18,Linear
157,340,2,Último clique
158,545,3,Primeiro clique
159,1799,7,Linear
160,266,41,Último clique
161,893,12,Primeiro clique
162,1511,16,Último clique
163,1709,18,Linear
164,176,35,Último clique
165,746,32,Linear
166,1013,10,Linear
167,643,33,Linear
168,645,16,Primeiro clique
169,230,23,Último clique
170,1537,30,Último clique
171,164,46,Último clique
172,780,8,Último clique
173,799,1,Linear
174,1193,9,Último clique
175,1498,33,Linear
176,226,16,Linear
177,877,4,Primeiro clique
178,807,42,Linear
179,1133,7,Primeiro clique
180,208,30,Último clique
181,1496,3,Primeiro clique
182,1003,7,Linear
183,1508,26,Primeiro clique
184,1527,40,Último clique
185,901,24,Último clique
186,321,16,Último clique
187,1386,34,Último clique
188,1941,50,Último clique
189,1738,8,Último clique
190,648,48,Linear
191,660,31,Linear
192,803,21,Linear
193,1528,11,Último clique
194,94,30,Último clique
195,1330,30,Primeiro clique
196,1581,11,Primeiro clique
197,1581,38,Linear
198,431,12,Último clique
199,1692,26,Último clique
200,1307,42,Linear
201,1886,28,Linear
202,438,9,Linear
203,1573,10,Primeiro clique
204,803,15,Último clique
205,147,32,Primeiro clique
206,1983,12,Último clique
207,437,17,Primeiro clique
208,362,47,Linear
209,1321,9,Linear
210,1783,18,Último clique
211,1982,29,Linear
212,102,7,Linear
213,1156,25,Último clique
214,1475,13,Primeiro clique
215,1738,49,Último clique
216,375,37,Linear
217,1099,12,Último clique
218,45,45,Último clique
219,412,35,Primeiro clique
220,488,22,Primeiro clique
221,324,15,Linear
222,946,7,Primeiro clique
223,167,38,Último clique
224,1411,6,Linear
225,1570,45,Último clique
226,879,37,Primeiro clique
227,1237,49,Primeiro clique
228,537,6,Linear
229,813,50,Linear
230,67,19,Linear
231,1873,33,Linear
232,1233,5,Linear
233,1534,47,Último clique
234,599,33,Último clique
235,1169,21,Primeiro clique
236,597,15,Último clique
237,463,27,Linear
238,1139,30,Primeiro clique
239,761,5,Primeiro clique
240,786,23,Último clique
241,1334,46,Primeiro clique
242,1687,41,Linear
243,1809,21,Linear
244,77,1,Primeiro clique
245,384,9,Linear
246,818,34,Primeiro clique
247,571,32,Linear
248,1039,48,Primeiro clique
249,1835,6,Último clique
250,181,23,Último clique
251,953,39,Linear
252,1939,16,Primeiro clique
253,844,17,Último clique
254,1689,14,Linear
255,366,15,Último clique
256,970,47,Primeiro clique
257,1463,42,Linear
258,1341,4,Linear
259,1719,38,Último clique
260,888,42,Primeiro clique
261,333,26,Primeiro clique
262,1346,6,Linear
263,1713,26,Linear
264,1134,32,Linear
265,530,19,Primeiro clique
266,354,50,Primeiro clique
267,308,44,Último clique
268,162,38,Último clique
269,1664,45,Último clique
270,405,23,Linear
271,683,10,Linear
272,457,46,Último clique
273,787,40,Linear
274,1162,14,Primeiro clique
275,34,10,Primeiro clique
276,1230,29,Primeiro clique
277,564,9,Último clique
278,1472,22,Último clique
279,264,4,Primeiro clique
280,741,25,Primeiro clique
281,417,47,Linear
282,1122,17,Último clique
283,144,50,Primeiro clique
284,1984,34,Primeiro clique
285,1741,47,Último clique
286,1383,40,Primeiro clique
287,539,5,Último clique
288,1447,17,Linear
289,1953,14,Linear
290,737,9,Primeiro clique
291,1540,39,Último clique
292,1125,47,Último clique
293,985,25,Último clique
294,587,45,Último clique
295,907,50,Linear
296,406,28,Primeiro clique
297,590,46,Último clique
298,1191,1,Linear
299,386,38,Último clique
300,354,6,Último clique
301,11,4,Último clique
302,824,44,Primeiro clique
303,237,18,Último clique
304,1477,35,Último clique
305,1331,16,Último clique
306,731,5,Primeiro clique
307,210,4,Primeiro clique
308,992,37,Último clique
309,835,11,Linear
310,952,16,Último clique
311,114,23,Primeiro clique
312,471,4,Linear
