campanha_id,nome_campanha,plataforma,data_inicio,data_fim,investimento,impressoes,cliques,conversoes
1,Campanha_1,Facebook Ads,2024-04-20,2025-01-14,10465.5,432390,1164,165
2,Campanha_2,Google Ads,2023-12-26,2024-11-13,2250.48,285738,3853,34
3,Campanha_3,TikTok,2023-11-15,2024-11-22,8968.4,174468,4777,191
4,Campanha_4,TikTok,2024-09-20,2024-11-13,5664.54,441778,3022,22
5,Campanha_5,TikTok,2023-10-03,2024-11-21,6304.45,351982,9804,44
6,Campanha_6,Email,2023-08-14,2024-11-25,8485.8,207280,389,146
7,Campanha_7,Google Ads,2023-12-24,2024-11-12,14945.64,382179,8956,111
8,Campanha_8,Instagram,2023-12-04,2024-11-04,13626.08,469800,5641,175
9,Campanha_9,Facebook Ads,2024-09-22,2024-11-24,14936.14,266438,2800,117
10,Campanha_10,Instagram,2024-02-16,2024-10-30,12205.24,392547,522,169
11,Campanha_11,Instagram,2024-02-25,2024-12-14,2263.06,380047,7965,32
12,Campanha_12,Email,2024-10-09,2025-01-09,2672.3,371302,7846,21
13,Campanha_13,Instagram,2023-08-31,2024-12-09,3816.41,221419,5913,22
14,Campanha_14,Facebook Ads,2023-07-06,2024-11-03,14976.47,68939,3655,158
15,Campanha_15,Facebook Ads,2023-12-01,2024-10-27,7824.53,254499,6879,129
16,Campanha_16,Email,2023-10-22,2024-11-20,11757.45,272654,2456,44
17,Campanha_17,Instagram,2024-01-18,2024-12-05,11557.46,262052,8726,98
18,Campanha_18,Google Ads,2024-01-09,2024-12-05,14585.61,358965,5760,130
19,Campanha_19,Google Ads,2024-05-01,2024-12-09,1837.81,157767,9657,71
20,Campanha_20,TikTok,2023-10-04,2024-11-16,1792.52,75402,1450,194
21,Campanha_21,TikTok,2024-04-18,2024-12-06,11532.08,415845,9377,100
22,Campanha_22,Instagram,2023-12-25,2024-11-27,709.85,423674,4840,177
23,Campanha_23,Facebook Ads,2023-07-11,2024-12-26,13170.44,184005,5526,19
24,Campanha_24,TikTok,2024-05-18,2024-11-02,7906.96,19993,2464,125
25,Campanha_25,TikTok,2024-09-07,2025-01-16,4240.94,264257,8782,73
26,Campanha_26,Google Ads,2024-03-22,2025-01-01,13711.05,142752,2185,53
27,Campanha_27,TikTok,2024-09-01,2025-01-08,11227.65,78690,749,44
28,Campanha_28,Google Ads,2024-10-08,2024-10-30,4727.92,124363,9826,62
29,Campanha_29,Google Ads,2024-03-29,2024-12-04,11237.93,209748,8555,178
30,Campanha_30,Google Ads,2023-06-16,2024-12-27,4900.6,300500,3001,49
31,Campanha_31,Instagram,2024-05-03,2024-12-24,8310.49,58801,4566,175
32,Campanha_32,Google Ads,2024-01-22,2024-12-05,11367.56,85566,7389,77
33,Campanha_33,Google Ads,2024-07-30,2025-01-13,6650.61,393758,3811,30
34,Campanha_34,Instagram,2024-05-14,2024-12-04,12291.11,27134,3513,91
35,Campanha_35,TikTok,2024-10-05,2025-01-21,2795.38,97609,4381,158
36,Campanha_36,Google Ads,2023-11-12,2025-01-16,8023.44,338065,3658,97
37,Campanha_37,Google Ads,2023-11-21,2024-12-27,934.32,436807,4481,48
38,Campanha_38,Google Ads,2024-05-08,2024-12-05,14714.67,176563,3189,127
39,Campanha_39,Instagram,2024-09-26,2024-11-06,3057.6,369765,3033,89
40,Campanha_40,Google Ads,2024-06-14,2024-12-08,2870.19,227989,4335,195
41,Campanha_41,Email,2023-08-12,2024-11-10,6910.48,202410,216,8
42,Campanha_42,Google Ads,2024-03-04,2024-11-25,1461.66,389625,6602,105
43,Campanha_43,Google Ads,2024-03-31,2024-11-13,13145.07,207989,8869,138
44,Campanha_44,TikTok,2024-06-26,2025-01-14,3302.89,79148,8617,23
45,Campanha_45,TikTok,2024-10-11,2024-12-02,9650.98,69898,4123,180
46,Campanha_46,TikTok,2023-09-16,2024-11-04,11932.45,463711,3385,9
47,Campanha_47,Facebook Ads,2024-06-14,2024-12-18,7735.84,325775,5095,59
48,Campanha_48,TikTok,2023-09-14,2024-10-29,1024.6,191496,5362,33
49,Campanha_49,TikTok,2024-08-13,2024-10-31,5092.46,187250,9352,151
50,Campanha_50,TikTok,2023-06-15,2025-01-07,9326.18,429902,7637,120
