evento_id,session_id,cliente_id,evento,pagina,dispositivo,data_evento
1,session_655,,purchase,/produto,desktop,2024-09-22 02:00:00
2,session_3770,,purchase,/categoria,tablet,2024-12-12 12:00:00
3,session_6589,474,add_to_cart,/home,mobile,2024-05-04 22:00:00
4,session_6022,214,begin_checkout,/categoria,mobile,2024-01-31 14:00:00
5,session_5137,278,purchase,/carrinho,mobile,2024-07-19 09:00:00
6,session_3031,249,page_view,/categoria,desktop,2024-12-15 05:00:00
7,session_4,460,page_view,/categoria,mobile,2024-12-22 09:00:00
8,session_3511,318,page_view,/carrinho,mobile,2025-01-18 11:00:00
9,session_4336,,page_view,/produto,mobile,2024-10-11 12:00:00
10,session_118,,purchase,/produto,mobile,2024-12-30 15:00:00
11,session_9936,,page_view,/checkout,desktop,2024-03-08 22:00:00
12,session_1390,,page_view,/checkout,desktop,2024-09-11 22:00:00
13,session_5104,,purchase,/checkout,desktop,2025-01-25 11:00:00
14,session_9240,5,view_item,/produto,mobile,2024-10-03 15:00:00
15,session_2403,120,page_view,/home,mobile,2024-11-14 04:00:00
16,session_1134,,purchase,/produto,mobile,2024-09-12 21:00:00
17,session_2237,,page_view,/checkout,mobile,2024-09-30 14:00:00
18,session_1295,462,add_to_cart,/checkout,mobile,2024-04-25 16:00:00
19,session_7507,,purchase,/home,mobile,2024-04-28 06:00:00
20,session_1797,,page_view,/home,desktop,2025-01-04 15:00:00
21,session_7814,,add_to_cart,/carrinho,mobile,2024-05-02 08:00:00
22,session_7199,72,purchase,/categoria,mobile,2024-01-15 09:00:00
23,session_2813,21,begin_checkout,/categoria,mobile,2024-12-19 11:00:00
24,session_1317,,page_view,/produto,mobile,2024-02-19 22:00:00
25,session_8496,,purchase,/produto,mobile,2024-08-24 10:00:00
26,session_5151,,add_to_cart,/carrinho,mobile,2024-10-13 19:00:00
27,session_9606,,page_view,/checkout,desktop,2024-03-09 01:00:00
28,session_659,148,add_to_cart,/home,mobile,2024-07-13 20:00:00
29,session_6400,205,page_view,/produto,desktop,2024-03-29 14:00:00
30,session_8132,,add_to_cart,/carrinho,mobile,2024-07-19 22:00:00
31,session_5347,226,purchase,/checkout,desktop,2024-01-03 03:00:00
32,session_6807,219,page_view,/produto,mobile,2024-10-18 02:00:00
33,session_7684,,page_view,/home,mobile,2024-04-28 08:00:00
34,session_8352,,begin_checkout,/carrinho,mobile,2024-05-31 21:00:00
35,session_1945,,add_to_cart,/carrinho,desktop,2024-07-14 13:00:00
36,session_1069,451,begin_checkout,/carrinho,mobile,2024-07-25 06:00:00
