item_id,pedido_id,produto_id,quantidade,preco_unitario,subtotal
1,1,31,1,1054.88,1054.88
2,2,11,1,822.48,822.48
3,3,34,3,1478.85,4436.55
4,4,50,2,1902.02,3804.04
5,4,68,2,1876.49,3752.98
6,5,21,2,1216.13,2432.26
7,5,27,1,1499.37,1499.37
8,5,51,1,429.68,429.68
9,5,14,1,1455.01,1455.01
10,6,45,3,381.06,1143.18
11,6,9,1,387.1,387.1
12,6,26,2,1399.87,2799.74
13,6,3,1,301.41,301.41
14,7,37,3,153.11,459.33
15,7,63,1,474.22,474.22
16,7,33,3,270.98,812.94
17,8,64,2,772.42,1544.84
18,8,46,2,1381.15,2762.3
19,9,65,3,939.51,2818.53
20,9,44,2,1007.35,2014.7
21,10,15,3,235.05,705.15
22,10,66,2,977.28,1954.56
23,10,52,3,1144.03,3432.09
24,10,74,2,1566.92,3133.84
25,11,13,1,1034.82,1034.82
26,11,78,3,288.66,865.98
27,11,67,1,887.21,887.21
28,12,10,2,793.62,1587.24
29,12,72,1,1810.61,1810.61
30,12,40,2,1475.12,2950.24
31,12,9,2,387.1,774.2
32,13,24,3,1283.79,3851.37
33,13,33,1,270.98,270.98
34,13,80,1,1847.47,1847.47
35,14,13,1,1034.82,1034.82
36,14,69,2,1420.76,2841.52
37,14,48,2,1501.92,3003.84
38,15,30,3,1655.41,4966.23
39,15,22,3,75.08,225.24
40,15,11,2,822.48,1644.96
41,16,17,3,1414.7,4244.1
42,16,68,3,1876.49,5629.47
43,16,43,1,1285.88,1285.88
44,17,52,2,1144.03,2288.06
45,17,25,1,323.43,323.43
46,17,9,3,387.1,1161.3
47,17,32,1,765.62,765.62
48,18,41,3,619.8,1859.4
49,18,44,2,1007.35,2014.7
50,18,73,2,1821.4,3642.8
51,18,33,2,270.98,541.96
52,19,34,2,1478.85,2957.7
53,19,63,2,474.22,948.44
54,20,1,2,1567.29,3134.58
55,20,69,2,1420.76,2841.52
56,20,68,1,1876.49,1876.49
57,21,68,3,1876.49,5629.47
58,21,69,1,1420.76,1420.76
59,21,12,3,1752.2,5256.6
60,22,3,3,301.41,904.23
61,22,46,1,1381.15,1381.15
62,22,64,2,772.42,1544.84
63,23,74,1,1566.92,1566.92
64,24,50,2,1902.02,3804.04
65,24,5,1,33.6,33.6
66,24,55,3,1409.4,4228.2
67,25,52,3,1144.03,3432.09
68,25,32,3,765.62,2296.86
69,25,29,3,443.29,1329.87
70,26,42,1,371.66,371.66
71,26,46,3,1381.15,4143.45
72,27,32,3,765.62,2296.86
73,27,6,2,381.29,762.58
74,27,47,2,1982.42,3964.84
75,27,40,2,1475.12,2950.24
76,28,12,2,1752.2,3504.4
77,28,28,2,1964.38,3928.76
78,29,37,3,153.11,459.33
79,29,11,2,822.48,1644.96
80,29,61,1,140.49,140.49
81,30,6,1,381.29,381.29
