pedido_id,cliente_id,data_pedido,canal_venda,status,valor_frete,desconto_aplicado
1,366,2024-01-06,Marketplace_B,Entregue,36.48,0.1
2,524,2024-12-29,Loja Física,Em trânsito,2.6,0.19
3,16,2024-06-29,Site,Entregue,44.21,0.06
4,129,2024-10-14,Marketplace_B,Entregue,43.13,0.06
5,109,2024-01-19,Site,Em trânsito,22.17,0.04
6,269,2023-11-23,Marketplace_A,Entregue,29.29,0.09
7,162,2023-08-08,WhatsApp,Entregue,48.8,0.21
8,260,2023-10-19,Site,Entregue,26.62,0.21
9,102,2023-10-22,Marketplace_A,Em trânsito,45.27,0.1
10,506,2023-07-18,Site,Entregue,4.15,0.15
11,247,2024-01-28,Site,Cancelado,9.55,0.18
12,131,2024-11-21,Site,Entregue,22.04,0.06
13,353,2024-02-23,Site,Cancelado,29.24,0.04
14,196,2023-10-23,Marketplace_B,Entregue,40.81,0.24
15,382,2023-09-28,Marketplace_A,Em trânsito,49.41,0.15
16,227,2023-10-13,Marketplace_A,Entregue,19.44,0.25
17,476,2024-07-29,Site,Devolvido,2.37,0.08
18,477,2024-08-30,Site,Entregue,40.06,0.18
19,265,2023-06-25,Marketplace_B,Entregue,30.22,0.06
20,372,2023-06-25,WhatsApp,Entregue,9.93,0.07
21,486,2023-10-07,Site,Entregue,24.74,0.13
22,434,2024-05-22,Loja Física,Entregue,37.12,0.08
23,211,2024-07-25,Marketplace_A,Processando,38.52,0.04
24,377,2023-10-22,Marketplace_A,Processando,24.98,0.07
25,395,2024-12-21,Marketplace_A,Entregue,15.26,0.01
26,450,2024-05-23,Site,Devolvido,48.69,0.18
27,364,2023-06-12,Site,Entregue,33.17,0.12
28,457,2024-05-02,Marketplace_B,Entregue,20.41,0.02
29,226,2024-09-09,Site,Em trânsito,14.02,0.04
30,131,2024-02-21,WhatsApp,Entregue,36.56,0.03
31,476,2024-12-26,Marketplace_A,Processando,12.11,0.15
32,277,2024-04-04,Site,Entregue,8.59,0.02
33,156,2024-05-04,Marketplace_B,Entregue,26.49,0.19
34,218,2024-03-22,Site,Entregue,14.5,0.01
35,190,2023-06-24,Marketplace_A,Entregue,31.45,0.06
36,417,2023-10-22,Marketplace_B,Entregue,5.9,0.22
37,41,2023-10-30,WhatsApp,Processando,32.75,0.18
38,307,2024-01-24,Loja Física,Cancelado,14.16,0.02
39,338,2024-06-08,Marketplace_B,Em trânsito,0.01,0.21
40,314,2023-11-23,Marketplace_B,Entregue,6.35,0.12
41,75,2024-08-10,WhatsApp,Entregue,46.68,0.21
42,279,2024-01-06,Site,Entregue,43.37,0.15
43,176,2023-08-01,Site,Entregue,11.68,0.17
44,273,2023-12-09,Site,Entregue,38.92,0.25
45,289,2024-03-27,Site,Em trânsito,30.43,0.06
46,272,2024-06-03,Marketplace_B,Entregue,48.55,0.16
47,66,2024-01-27,Marketplace_B,Entregue,18.68,0.12
48,483,2024-05-03,Marketplace_A,Entregue,34.07,0.01
49,248,2024-02-14,Site,Entregue,3.18,0.0
50,156,2023-08-29,Marketplace_B,Entregue,19.81,0.03
51,47,2025-01-11,Site,Processando,48.19,0.16
52,454,2024-05-13,Marketplace_B,Entregue,26.95,0.14
53,201,2023-12-11,Marketplace_A,Cancelado,14.39,0.14
54,124,2024-11-30,Site,Entregue,6.01,0.01
55,1,2024-03-05,Site,Entregue,35.18,0.12
56,191,2024-12-19,Site,Entregue,32.24,0.23
57,516,2023-07-18,Loja Física,Cancelado,18.7,0.1
58,442,2024-09-16,WhatsApp,Em trânsito,47.55,0.16
59,143,2023-06-27,Marketplace_B,Entregue,1.11,0.19
60,191,2024-02-12,Site,Entregue,15.19,0.2
61,227,2023-06-07,Marketplace_A,Entregue,46.05,0.13
62,313,2024-08-08,Marketplace_B,Entregue,16.05,0.21
63,302,2023-08-21,Loja Física,Processando,12.61,0.1
64,460,2024-02-16,Site,Entregue,26.71,0.22
65,401,2024-01-12,Site,Entregue,41.19,0.06
66,393,2024-11-28,Marketplace_B,Entregue,5.16,0.07
67,207,2024-09-03,Marketplace_A,Entregue,47.15,0.01
68,210,2024-09-21,Site,Entregue,39.75,0.2
69,115,2024-04-10,Site,Entregue,9.06,0.1
70,251,2024-08-08,Marketplace_A,Em trânsito,35.6,0.06
71,219,2024-06-06,Loja Física,Em trânsito,19.25,0.06
72,407,2024-03-23,WhatsApp,Entregue,20.11,0.23
73,443,2024-08-14,Marketplace_A,Cancelado,39.16,0.21
74,354,2024-05-08,Marketplace_A,Entregue,48.14,0.14
75,142,2023-10-22,Site,Entregue,6.33,0.15
76,501,2024-07-26,Marketplace_A,Entregue,21.03,0.12
77,507,2024-06-04,Marketplace_A,Entregue,24.05,0.1
78,281,2023-06-15,Marketplace_B,Entregue,18.82,0.23
79,424,2024-09-29,Marketplace_A,Entregue,18.16,0.03
80,270,2024-08-09,Site,Entregue,2.61,0.1
81,154,2024-01-05,Site,Processando,34.28,0.09
82,83,2023-07-16,Site,Entregue,21.81,0.12
83,426,2023-12-22,Site,Entregue,9.74,0.11
84,275,2023-06-09,Site,Entregue,40.8,0.13
85,284,2024-08-14,WhatsApp,Entregue,40.13,0.03
86,173,2024-05-18,Marketplace_A,Entregue,24.32,0.13
87,327,2024-03-24,Marketplace_A,Cancelado,14.92,0.06
88,63,2024-06-21,Loja Física,Entregue,31.9,0.05
89,73,2023-08-15,WhatsApp,Entregue,14.41,0.02
90,375,2023-09-01,Marketplace_A,Entregue,11.8,0.19
91,508,2024-05-31,Loja Física,Entregue,36.53,0.11
92,398,2024-04-25,Site,Entregue,2.02,0.16
93,120,2024-04-02,Site,Entregue,4.74,0.18
94,437,2024-10-19,Marketplace_A,Entregue,0.34,0.17
95,465,2024-11-26,Marketplace_B,Entregue,7.65,0.12
96,286,2024-02-03,Marketplace_B,Entregue,3.45,0.1
97,265,2024-07-08,Site,Processando,49.79,0.09
98,320,2024-06-15,Site,Entregue,14.44,0.16
99,376,2024-11-30,Marketplace_B,Cancelado,7.46,0.12
100,89,2023-11-16,Site,Em trânsito,12.05,0.21
101,203,2023-10-10,Marketplace_A,Entregue,46.81,0.22
102,334,2024-08-15,Marketplace_B,Entregue,26.01,0.04
103,222,2024-08-18,Marketplace_B,Entregue,18.24,0.03
104,41,2024-10-15,Loja Física,Entregue,43.67,0.16
105,68,2024-02-19,Loja Física,Entregue,19.75,0.08
106,514,2024-03-30,Marketplace_A,Em trânsito,16.75,0.0
107,127,2024-11-28,Marketplace_B,Processando,10.36,0.22
108,255,2023-11-28,Marketplace_B,Entregue,18.89,0.06
109,16,2025-01-07,Site,Entregue,15.83,0.23
110,477,2024-10-05,Site,Entregue,33.87,0.18
111,62,2024-02-23,Site,Cancelado,14.48,0.19
112,432,2024-03-02,Marketplace_A,Entregue,28.86,0.05
113,268,2023-08-30,Marketplace_B,Entregue,3.29,0.06
114,35,2023-10-12,Loja Física,Em trânsito,9.56,0.13
115,494,2023-11-22,Site,Entregue,20.37,0.04
116,469,2024-03-14,Site,Devolvido,46.85,0.08
117,325,2024-07-31,WhatsApp,Entregue,18.86,0.08
118,304,2024-05-03,Site,Entregue,33.2,0.04
119,276,2023-10-23,Marketplace_A,Processando,12.75,0.05
120,201,2024-01-02,Marketplace_A,Entregue,6.35,0.2
121,445,2024-11-12,Marketplace_A,Entregue,2.93,0.04
122,324,2024-05-15,Site,Entregue,15.27,0.01
123,35,2023-06-05,Site,Entregue,7.88,0.16
124,482,2023-08-08,Site,Entregue,8.7,0.24
