produto_id,nome_produto,categoria,preco_unitario,custo,estoque_atual
1,Produto_1,Eletrônicos,1567.29,385.57,269
2,Produto_2,Beleza,457.8,25.52,410
3,Produto_3,Casa,301.41,236.96,380
4,Produto_4,Moda,1336.09,50.01,488
5,Produto_5,Eletrônicos,33.6,43.49,167
6,Produto_6,Esportes,381.29,231.44,57
7,Produto_7,Eletrônicos,87.17,231.36,283
8,Produto_8,Moda,358.66,632.89,25
9,Produto_9,Beleza,387.1,780.25,368
10,Produto_10,Beleza,793.62,306.4,446
11,Produto_11,Beleza,822.48,351.68,65
12,Produto_12,Esportes,1752.2,678.16,408
13,Produto_13,Casa,1034.82,225.49,247
14,Produto_14,Casa,1455.01,137.76,253
15,Produto_15,Eletrônicos,235.05,684.68,386
16,Produto_16,Esportes,474.01,51.5,455
17,Produto_17,Beleza,1414.7,501.46,43
18,Produto_18,Beleza,133.92,456.16,96
19,Produto_19,Moda,988.5,286.55,41
20,Produto_20,Moda,1210.66,262.42,499
21,Produto_21,Beleza,1216.13,620.91,226
22,Produto_22,Beleza,75.08,82.84,261
23,Produto_23,Esportes,664.45,200.88,166
24,Produto_24,Casa,1283.79,589.97,435
25,Produto_25,Moda,323.43,445.43,278
26,Produto_26,Casa,1399.87,115.47,88
27,Produto_27,Esportes,1499.37,707.48,378
28,Produto_28,Beleza,1964.38,323.86,177
29,Produto_29,Casa,443.29,664.88,426
30,Produto_30,Beleza,1655.41,633.35,402
31,Produto_31,Beleza,1054.88,505.17,196
32,Produto_32,Eletrônicos,765.62,403.17,306
33,Produto_33,Casa,270.98,783.95,266
34,Produto_34,Casa,1478.85,128.8,267
35,Produto_35,Beleza,494.54,584.25,73
36,Produto_36,Esportes,761.6,165.08,7
37,Produto_37,Eletrônicos,153.11,280.54,407
38,Produto_38,Beleza,1608.59,257.33,475
39,Produto_39,Moda,1540.08,758.42,296
40,Produto_40,Moda,1475.12,774.37,163
41,Produto_41,Eletrônicos,619.8,158.67,484
42,Produto_42,Esportes,371.66,32.3,84
43,Produto_43,Beleza,1285.88,580.21,71
44,Produto_44,Casa,1007.35,343.12,54
45,Produto_45,Eletrônicos,381.06,84.74,392
46,Produto_46,Esportes,1381.15,551.75,46
47,Produto_47,Casa,1982.42,442.91,398
48,Produto_48,Moda,1501.92,784.71,431
49,Produto_49,Moda,1487.67,193.52,237
50,Produto_50,Casa,1902.02,332.12,103
51,Produto_51,Eletrônicos,429.68,440.9,209
52,Produto_52,Moda,1144.03,636.48,41
53,Produto_53,Beleza,1959.8,445.84,315
54,Produto_54,Casa,355.53,496.13,467
55,Produto_55,Casa,1409.4,192.53,453
56,Produto_56,Moda,1183.95,679.83,267
57,Produto_57,Eletrônicos,1185.26,351.47,385
58,Produto_58,Beleza,1404.31,125.65,262
59,Produto_59,Eletrônicos,1861.25,536.39,335
60,Produto_60,Esportes,1571.59,184.63,386
61,Produto_61,Esportes,140.49,91.59,364
62,Produto_62,Moda,1709.77,691.66,258
63,Produto_63,Moda,474.22,376.23,282
64,Produto_64,Moda,772.42,603.19,113
65,Produto_65,Esportes,939.51,243.11,362
66,Produto_66,Eletrônicos,977.28,632.77,39
67,Produto_67,Eletrônicos,887.21,102.87,485
68,Produto_68,Moda,1876.49,294.44,416
69,Produto_69,Beleza,1420.76,782.78,219
70,Produto_70,Eletrônicos,1273.31,638.28,128
71,Produto_71,Esportes,128.09,405.35,7
72,Produto_72,Casa,1810.61,281.73,100
73,Produto_73,Casa,1821.4,699.63,415
74,Produto_74,Casa,1566.92,442.71,379
75,Produto_75,Beleza,43.75,610.36,175
76,Produto_76,Moda,142.74,606.97,106
77,Produto_77,Esportes,473.59,29.09,100
78,Produto_78,Beleza,288.66,114.11,259
79,Produto_79,Esportes,815.61,532.81,477
80,Produto_80,Esportes,1847.47,141.87,453
